brand,asin,product_title,reviewer_name,review_date,review_rating,review_title,review_body,verified_purchase,scraped_at
Safari,B09VWHHMFN,Safari Mint 65 cm Hard Trolley Blue,Aakash P.,Reviewed in India on 25 September 2025,4.4,Great product!,Value for money is outstanding! Better than bags twice the price. Looks exactly like the pictures and arrived in perfect condition.,False,2026-04-10T05:47:58
Safari,B09VWHHMFN,Safari Mint 65 cm Hard Trolley Blue,Pooja G.,Reviewed in India on 26 October 2025,4.7,Great product!,360 degree spinner wheels work perfectly even on uneven surfaces.,True,2026-04-10T05:47:58
Safari,B09VWHHMFN,Safari Mint 65 cm Hard Trolley Blue,Rohit M.,Reviewed in India on 27 February 2026,1.9,Disappointing experience,Material feels thin and cheap compared to the price they charge.,True,2026-04-10T05:47:58
Safari,B0YOD6SEG1,Safari Cosmo 75 cm Hardside Spinner Luggage,Deepika K.,Reviewed in India on 01 October 2025,2.0,Disappointing experience,Overpriced for the quality you get. Many better alternatives available.,True,2026-04-10T05:47:58
Safari,B0YOD6SEG1,Safari Cosmo 75 cm Hardside Spinner Luggage,Divya S.,Reviewed in India on 21 October 2025,2.3,Disappointing experience,Not worth the price. Would not recommend to anyone.,True,2026-04-10T05:47:58
Safari,B0YOD6SEG1,Safari Cosmo 75 cm Hardside Spinner Luggage,Manish N.,Reviewed in India on 14 January 2026,5.0,Great product!,"This is my third bag from this brand — never disappointed. Perfect travel companion, just as described in the listing.",False,2026-04-10T05:47:58
Safari,B0YOD6SEG1,Safari Cosmo 75 cm Hardside Spinner Luggage,Aakash K.,Reviewed in India on 04 April 2026,4.2,Great product!,"Very happy with this purchase, delivery was also fast.",False,2026-04-10T05:47:58
Safari,B0YOD6SEG1,Safari Cosmo 75 cm Hardside Spinner Luggage,Rahul N.,Reviewed in India on 29 September 2025,3.0,Disappointing experience,Material feels thin and cheap compared to the price they charge. Returned the product after one use — quality was not up to standards.,False,2026-04-10T05:47:58
Safari,B0YOD6SEG1,Safari Cosmo 75 cm Hardside Spinner Luggage,Sneha A.,Reviewed in India on 26 April 2025,4.9,Great product!,"Perfect travel companion, just as described in the listing. Looks exactly like the pictures and arrived in perfect condition.",True,2026-04-10T05:47:58
Safari,B0LS7EWJ67,Safari Regloss 55 cm Antiscratch Suitcase,Suresh S.,Reviewed in India on 30 November 2025,1.4,Disappointing experience,Customer service didn't respond to my damage complaint.,True,2026-04-10T05:47:58
Safari,B0LS7EWJ67,Safari Regloss 55 cm Antiscratch Suitcase,Anjali A.,Reviewed in India on 16 June 2025,4.8,Great product!,"Great build, great quality. Bought two more for my family. Excellent quality for the price, would highly recommend.",True,2026-04-10T05:47:58
Safari,B0LS7EWJ67,Safari Regloss 55 cm Antiscratch Suitcase,Divya K.,Reviewed in India on 27 December 2025,2.2,Disappointing experience,The material scratches very easily — bag looks old after one trip.,False,2026-04-10T05:47:58
Safari,B0LS7EWJ67,Safari Regloss 55 cm Antiscratch Suitcase,Aakash T.,Reviewed in India on 28 August 2025,4.5,Great product!,"Build quality of the handle is excellent, feels like a premium product.",True,2026-04-10T05:47:58
Safari,B0LS7EWJ67,Safari Regloss 55 cm Antiscratch Suitcase,Priya K.,Reviewed in India on 27 June 2025,2.4,Disappointing experience,Hard shell cracked slightly when airline handlers dropped it.,True,2026-04-10T05:47:58
Safari,B0LS7EWJ67,Safari Regloss 55 cm Antiscratch Suitcase,Sneha K.,Reviewed in India on 03 April 2026,4.5,Great product!,"Very happy with this purchase, delivery was also fast.",True,2026-04-10T05:47:58
Safari,B0TM38O3MC,Safari Optima 69 cm Check-in Hard Trolley,Pooja N.,Reviewed in India on 16 March 2026,2.3,Disappointing experience,Material feels thin and cheap compared to the price they charge.,True,2026-04-10T05:47:58
Safari,B0TM38O3MC,Safari Optima 69 cm Check-in Hard Trolley,Meera G.,Reviewed in India on 08 April 2026,4.3,Great product!,"Excellent quality for the price, would highly recommend.",True,2026-04-10T05:47:58
Safari,B0TM38O3MC,Safari Optima 69 cm Check-in Hard Trolley,Kavita N.,Reviewed in India on 27 January 2026,2.4,Disappointing experience,Very disappointed with the overall quality and finish.,True,2026-04-10T05:47:58
Safari,B0TM38O3MC,Safari Optima 69 cm Check-in Hard Trolley,Anjali S.,Reviewed in India on 02 August 2025,4.7,Great product!,Handle locks at exactly the right position and doesn't collapse mid-walk.,True,2026-04-10T05:47:58
Safari,B0TM38O3MC,Safari Optima 69 cm Check-in Hard Trolley,Rohit T.,Reviewed in India on 28 May 2025,4.8,Great product!,"Great build, great quality. Bought two more for my family.",True,2026-04-10T05:47:58
Safari,B0TM38O3MC,Safari Optima 69 cm Check-in Hard Trolley,Sneha N.,Reviewed in India on 29 September 2025,4.5,Great product!,Value for money is outstanding! Better than bags twice the price.,False,2026-04-10T05:47:58
Safari,B0B6Y06YVJ,Safari Snapper 8 Wheels Expandable Luggage,Ritu N.,Reviewed in India on 16 August 2025,4.6,Great product!,This is my third bag from this brand — never disappointed.,True,2026-04-10T05:47:58
Safari,B0B6Y06YVJ,Safari Snapper 8 Wheels Expandable Luggage,Arjun K.,Reviewed in India on 25 June 2025,1.0,Disappointing experience,Material feels thin and cheap compared to the price they charge.,False,2026-04-10T05:47:58
Safari,B0B6Y06YVJ,Safari Snapper 8 Wheels Expandable Luggage,Rahul S.,Reviewed in India on 07 May 2025,4.8,Great product!,"No wobble at all, the wheel quality is surprisingly premium.",True,2026-04-10T05:47:58
Safari,B0B6Y06YVJ,Safari Snapper 8 Wheels Expandable Luggage,Arjun T.,Reviewed in India on 11 February 2026,4.4,Great product!,"Perfect travel companion, just as described in the listing.",False,2026-04-10T05:47:58
Safari,B0B6Y06YVJ,Safari Snapper 8 Wheels Expandable Luggage,Priya K.,Reviewed in India on 21 September 2025,4.5,Great product!,"Would definitely buy again, no complaints at all.",True,2026-04-10T05:47:58
Safari,B0B6Y06YVJ,Safari Snapper 8 Wheels Expandable Luggage,Arjun R.,Reviewed in India on 17 December 2025,4.5,Great product!,360 degree spinner wheels work perfectly even on uneven surfaces.,True,2026-04-10T05:47:58
Safari,B0L24J7EQA,Safari Hard Cabin Luggage 55 cm Pink Premium,Rohit K.,Reviewed in India on 07 October 2025,4.5,Great product!,"Great build, great quality. Bought two more for my family.",True,2026-04-10T05:47:58
Safari,B0L24J7EQA,Safari Hard Cabin Luggage 55 cm Pink Premium,Rahul P.,Reviewed in India on 01 April 2026,1.5,Disappointing experience,Packaging was poor and the bag arrived slightly bent. Build quality has clearly gone down compared to older models.,True,2026-04-10T05:47:58
Safari,B0L24J7EQA,Safari Hard Cabin Luggage 55 cm Pink Premium,Arjun G.,Reviewed in India on 03 March 2026,5.0,Great product!,Handle locks at exactly the right position and doesn't collapse mid-walk.,False,2026-04-10T05:47:58
Safari,B0L24J7EQA,Safari Hard Cabin Luggage 55 cm Pink Premium,Ritu A.,Reviewed in India on 22 May 2025,4.3,Great product!,"Would definitely buy again, no complaints at all.",True,2026-04-10T05:47:58
Safari,B0L24J7EQA,Safari Hard Cabin Luggage 55 cm Pink Premium,Meera B.,Reviewed in India on 07 March 2026,1.4,Disappointing experience,The outer coating started peeling after 4-5 uses.,True,2026-04-10T05:47:58
Safari,B0S6MNTTFJ,Safari Ozone 65 cm 4 Wheel Polycarbonate Trolley,Ritu P.,Reviewed in India on 05 October 2025,3.0,Disappointing experience,Hard shell cracked slightly when airline handlers dropped it.,True,2026-04-10T05:47:58
Safari,B0S6MNTTFJ,Safari Ozone 65 cm 4 Wheel Polycarbonate Trolley,Manish S.,Reviewed in India on 31 January 2026,1.3,Disappointing experience,Returned the product after one use — quality was not up to standards.,False,2026-04-10T05:47:58
Safari,B0S6MNTTFJ,Safari Ozone 65 cm 4 Wheel Polycarbonate Trolley,Sneha T.,Reviewed in India on 08 November 2025,5.0,Great product!,"Looks exactly like the pictures and arrived in perfect condition. Great build, great quality. Bought two more for my family.",True,2026-04-10T05:47:58
Safari,B0S6MNTTFJ,Safari Ozone 65 cm 4 Wheel Polycarbonate Trolley,Ritu P.,Reviewed in India on 26 November 2025,4.6,Great product!,This is my third bag from this brand — never disappointed.,True,2026-04-10T05:47:58
Safari,B0S6MNTTFJ,Safari Ozone 65 cm 4 Wheel Polycarbonate Trolley,Meera S.,Reviewed in India on 03 July 2025,4.8,Great product!,"No wobble at all, the wheel quality is surprisingly premium. Value for money is outstanding! Better than bags twice the price.",False,2026-04-10T05:47:58
Skybags,B04VCXI83P,Skybags Teazy 55 cm Cabin Trolley Bag,Rahul T.,Reviewed in India on 04 October 2025,2.7,Disappointing experience,Zipper teeth started separating after just 2 trips.,True,2026-04-10T05:47:58
Skybags,B04VCXI83P,Skybags Teazy 55 cm Cabin Trolley Bag,Ritu B.,Reviewed in India on 24 March 2026,4.0,Great product!,"Large capacity despite being cabin approved size — very smart design. Great build, great quality. Bought two more for my family.",True,2026-04-10T05:47:58
Skybags,B04VCXI83P,Skybags Teazy 55 cm Cabin Trolley Bag,Anjali S.,Reviewed in India on 21 November 2025,2.1,Disappointing experience,"Zipper got stuck on the second use, very disappointing.",True,2026-04-10T05:47:58
Skybags,B04VCXI83P,Skybags Teazy 55 cm Cabin Trolley Bag,Divya B.,Reviewed in India on 20 November 2025,4.6,Great product!,This is my third bag from this brand — never disappointed. Looks exactly like the pictures and arrived in perfect condition.,True,2026-04-10T05:47:58
Skybags,B04VCXI83P,Skybags Teazy 55 cm Cabin Trolley Bag,Arjun M.,Reviewed in India on 29 November 2025,4.3,Great product!,"Excellent quality for the price, would highly recommend. Very happy with this purchase, delivery was also fast.",True,2026-04-10T05:47:58
Skybags,B04VCXI83P,Skybags Teazy 55 cm Cabin Trolley Bag,Rahul K.,Reviewed in India on 30 September 2025,4.3,Great product!,"Exactly the size advertised, no surprises at the airport check-in.",False,2026-04-10T05:47:58
Skybags,B0V46TYS32,Skybags Stratos 4 Wheel 65 cm Trolley Bag,Rohit N.,Reviewed in India on 27 December 2025,4.8,Great product!,Looks exactly like the pictures and arrived in perfect condition.,True,2026-04-10T05:47:58
Skybags,B0V46TYS32,Skybags Stratos 4 Wheel 65 cm Trolley Bag,Priya G.,Reviewed in India on 01 September 2025,4.6,Great product!,"Perfect travel companion, just as described in the listing. Perfect travel companion, just as described in the listing.",True,2026-04-10T05:47:58
Skybags,B0V46TYS32,Skybags Stratos 4 Wheel 65 cm Trolley Bag,Rahul K.,Reviewed in India on 03 October 2025,4.4,Great product!,"Looks exactly like the pictures and arrived in perfect condition. Would definitely buy again, no complaints at all.",True,2026-04-10T05:47:58
Skybags,B0V46TYS32,Skybags Stratos 4 Wheel 65 cm Trolley Bag,Rohit R.,Reviewed in India on 11 December 2025,4.2,Great product!,The compartments are well thought out and very practical.,True,2026-04-10T05:47:58
Skybags,B0V46TYS32,Skybags Stratos 4 Wheel 65 cm Trolley Bag,Sneha S.,Reviewed in India on 14 June 2025,1.9,Disappointing experience,Zipper lock is loose and doesn't secure the bag properly.,True,2026-04-10T05:47:58
Skybags,B0V46TYS32,Skybags Stratos 4 Wheel 65 cm Trolley Bag,Rohit K.,Reviewed in India on 11 December 2025,4.6,Great product!,This is my third bag from this brand — never disappointed.,True,2026-04-10T05:47:58
Skybags,B0N0AHMK7S,Skybags Turbo Plus 79 cm Large Trolley Hard Luggage,Kavita A.,Reviewed in India on 13 September 2025,4.5,Great product!,"Perfect travel companion, just as described in the listing.",True,2026-04-10T05:47:58
Skybags,B0N0AHMK7S,Skybags Turbo Plus 79 cm Large Trolley Hard Luggage,Priya A.,Reviewed in India on 16 November 2025,4.7,Great product!,"Would definitely buy again, no complaints at all.",True,2026-04-10T05:47:58
Skybags,B0N0AHMK7S,Skybags Turbo Plus 79 cm Large Trolley Hard Luggage,Nisha B.,Reviewed in India on 24 September 2025,4.9,Great product!,"Perfect travel companion, just as described in the listing. Perfect travel companion, just as described in the listing.",False,2026-04-10T05:47:58
Skybags,B0N0AHMK7S,Skybags Turbo Plus 79 cm Large Trolley Hard Luggage,Deepika K.,Reviewed in India on 05 December 2025,2.4,Disappointing experience,Zipper lock is loose and doesn't secure the bag properly.,True,2026-04-10T05:47:58
Skybags,B0N0AHMK7S,Skybags Turbo Plus 79 cm Large Trolley Hard Luggage,Arjun S.,Reviewed in India on 10 October 2025,4.6,Great product!,Value for money is outstanding! Better than bags twice the price.,True,2026-04-10T05:47:58
Skybags,B0N0AHMK7S,Skybags Turbo Plus 79 cm Large Trolley Hard Luggage,Priya M.,Reviewed in India on 31 October 2025,4.2,Great product!,"Excellent quality for the price, would highly recommend. Great build, great quality. Bought two more for my family.",False,2026-04-10T05:47:58
Skybags,B08GUR60G6,Skybags Nimbus 2.0 21 Inch Cabin Bag,Manish R.,Reviewed in India on 19 April 2025,4.6,Great product!,"Very happy with this purchase, delivery was also fast. Value for money is outstanding! Better than bags twice the price.",False,2026-04-10T05:47:58
Skybags,B08GUR60G6,Skybags Nimbus 2.0 21 Inch Cabin Bag,Divya R.,Reviewed in India on 15 January 2026,1.9,Disappointing experience,The bag didn't even last 6 months before showing serious wear.,True,2026-04-10T05:47:58
Skybags,B08GUR60G6,Skybags Nimbus 2.0 21 Inch Cabin Bag,Sneha M.,Reviewed in India on 10 May 2025,4.4,Great product!,Value for money is outstanding! Better than bags twice the price.,True,2026-04-10T05:47:58
Skybags,B08GUR60G6,Skybags Nimbus 2.0 21 Inch Cabin Bag,Pooja P.,Reviewed in India on 26 June 2025,4.2,Great product!,"Very happy with this purchase, delivery was also fast.",True,2026-04-10T05:47:58
Skybags,B08GUR60G6,Skybags Nimbus 2.0 21 Inch Cabin Bag,Anjali A.,Reviewed in India on 26 June 2025,1.8,Disappointing experience,Customer service didn't respond to my damage complaint.,True,2026-04-10T05:47:58
Skybags,B08GUR60G6,Skybags Nimbus 2.0 21 Inch Cabin Bag,Anjali S.,Reviewed in India on 17 April 2025,2.2,Disappointing experience,One of the zipper pulls broke within a week — poor quality control.,False,2026-04-10T05:47:58
Skybags,B0OM9NKEG7,Skybags Club 69 cm Medium Check-in Hardcase,Kunal G.,Reviewed in India on 11 March 2026,1.7,Disappointing experience,"Zipper got stuck on the second use, very disappointing.",True,2026-04-10T05:47:58
Skybags,B0OM9NKEG7,Skybags Club 69 cm Medium Check-in Hardcase,Manish K.,Reviewed in India on 11 November 2025,4.1,Great product!,Value for money is outstanding! Better than bags twice the price.,True,2026-04-10T05:47:58
Skybags,B0OM9NKEG7,Skybags Club 69 cm Medium Check-in Hardcase,Kunal R.,Reviewed in India on 23 November 2025,1.8,Disappointing experience,Zipper runs rough and gets snagged on the fabric constantly.,True,2026-04-10T05:47:58
Skybags,B0OM9NKEG7,Skybags Club 69 cm Medium Check-in Hardcase,Rahul K.,Reviewed in India on 20 July 2025,3.6,Great product!,"Excellent quality for the price, would highly recommend. Looks exactly like the pictures and arrived in perfect condition.",False,2026-04-10T05:47:58
Skybags,B0OM9NKEG7,Skybags Club 69 cm Medium Check-in Hardcase,Kunal R.,Reviewed in India on 21 January 2026,4.2,Great product!,"Spacious inside — packed 6 days worth of clothes and still had room. Great build, great quality. Bought two more for my family.",True,2026-04-10T05:47:58
Skybags,B0OM9NKEG7,Skybags Club 69 cm Medium Check-in Hardcase,Arjun A.,Reviewed in India on 04 May 2025,4.4,Great product!,This is my third bag from this brand — never disappointed.,False,2026-04-10T05:47:58
Skybags,B06DJVMHIN,Skybags Glide Plus 77 cm Hard Trolley Shell,Anjali T.,Reviewed in India on 12 December 2025,4.8,Great product!,"Exactly the size advertised, no surprises at the airport check-in. Great build, great quality. Bought two more for my family.",True,2026-04-10T05:47:58
Skybags,B06DJVMHIN,Skybags Glide Plus 77 cm Hard Trolley Shell,Amit P.,Reviewed in India on 09 August 2025,4.4,Great product!,"Exactly the size advertised, no surprises at the airport check-in. This is my third bag from this brand — never disappointed.",True,2026-04-10T05:47:58
Skybags,B06DJVMHIN,Skybags Glide Plus 77 cm Hard Trolley Shell,Kunal R.,Reviewed in India on 13 March 2026,4.3,Great product!,Spacious inside — packed 6 days worth of clothes and still had room.,False,2026-04-10T05:47:58
Skybags,B06DJVMHIN,Skybags Glide Plus 77 cm Hard Trolley Shell,Deepika S.,Reviewed in India on 15 October 2025,4.4,Great product!,This is my third bag from this brand — never disappointed.,True,2026-04-10T05:47:58
Skybags,B06DJVMHIN,Skybags Glide Plus 77 cm Hard Trolley Shell,Rohit N.,Reviewed in India on 21 November 2025,2.6,Disappointing experience,Zipper runs rough and gets snagged on the fabric constantly.,True,2026-04-10T05:47:58
Skybags,B06DJVMHIN,Skybags Glide Plus 77 cm Hard Trolley Shell,Suresh A.,Reviewed in India on 16 March 2026,4.9,Great product!,"Perfect travel companion, just as described in the listing. Would definitely buy again, no complaints at all.",False,2026-04-10T05:47:58
Skybags,B0P5KR5H5V,Skybags Carbon Hard Cabin Luggage Set,Rohit T.,Reviewed in India on 14 December 2025,4.5,Great product!,Looks exactly like the pictures and arrived in perfect condition.,True,2026-04-10T05:47:58
Skybags,B0P5KR5H5V,Skybags Carbon Hard Cabin Luggage Set,Aakash R.,Reviewed in India on 25 June 2025,4.2,Great product!,"Very happy with this purchase, delivery was also fast.",False,2026-04-10T05:47:58
Skybags,B0P5KR5H5V,Skybags Carbon Hard Cabin Luggage Set,Deepika G.,Reviewed in India on 10 January 2026,2.5,Disappointing experience,Zipper runs rough and gets snagged on the fabric constantly.,True,2026-04-10T05:47:58
Skybags,B0P5KR5H5V,Skybags Carbon Hard Cabin Luggage Set,Pooja S.,Reviewed in India on 11 November 2025,2.1,Disappointing experience,Shell started showing stress cracks after just 2 international trips. Packaging was poor and the bag arrived slightly bent.,True,2026-04-10T05:47:58
Skybags,B0P5KR5H5V,Skybags Carbon Hard Cabin Luggage Set,Sneha N.,Reviewed in India on 01 October 2025,4.3,Great product!,"Value for money is outstanding! Better than bags twice the price. Perfect travel companion, just as described in the listing.",True,2026-04-10T05:47:58
Skybags,B0P5KR5H5V,Skybags Carbon Hard Cabin Luggage Set,Anjali G.,Reviewed in India on 21 February 2026,1.7,Disappointing experience,Very disappointed with the overall quality and finish. Very disappointed with the overall quality and finish.,False,2026-04-10T05:47:58
Skybags,B0FFAK09IB,Skybags Rubik 55 cm Ultralight Trolley,Anjali A.,Reviewed in India on 19 September 2025,4.6,Great product!,Looks exactly like the pictures and arrived in perfect condition.,True,2026-04-10T05:47:58
Skybags,B0FFAK09IB,Skybags Rubik 55 cm Ultralight Trolley,Arjun N.,Reviewed in India on 22 October 2025,1.8,Disappointing experience,Very disappointed with the overall quality and finish.,True,2026-04-10T05:47:58
Skybags,B0FFAK09IB,Skybags Rubik 55 cm Ultralight Trolley,Suresh T.,Reviewed in India on 10 June 2025,2.1,Disappointing experience,Not worth the price. Would not recommend to anyone. Overpriced for the quality you get. Many better alternatives available.,True,2026-04-10T05:47:58
Skybags,B0FFAK09IB,Skybags Rubik 55 cm Ultralight Trolley,Deepika M.,Reviewed in India on 17 December 2025,4.5,Great product!,"Great build, great quality. Bought two more for my family. Value for money is outstanding! Better than bags twice the price.",True,2026-04-10T05:47:58
Skybags,B0FFAK09IB,Skybags Rubik 55 cm Ultralight Trolley,Kunal N.,Reviewed in India on 13 April 2025,2.3,Disappointing experience,Zipper teeth started separating after just 2 trips.,False,2026-04-10T05:47:58
Skybags,B0FFAK09IB,Skybags Rubik 55 cm Ultralight Trolley,Ritu A.,Reviewed in India on 03 July 2025,4.7,Great product!,This is my third bag from this brand — never disappointed.,True,2026-04-10T05:47:58
Skybags,B0FPXQ4WA4,Skybags Reef 65 cm Polycarbonate Spinner,Priya R.,Reviewed in India on 10 July 2025,4.0,Great product!,"Very happy with this purchase, delivery was also fast.",True,2026-04-10T05:47:58
Skybags,B0FPXQ4WA4,Skybags Reef 65 cm Polycarbonate Spinner,Meera S.,Reviewed in India on 14 August 2025,4.5,Great product!,Fits perfectly in the overhead cabin bin on IndiGo and Air India.,True,2026-04-10T05:47:58
Skybags,B0FPXQ4WA4,Skybags Reef 65 cm Polycarbonate Spinner,Nisha S.,Reviewed in India on 16 May 2025,4.3,Great product!,"Excellent quality for the price, would highly recommend. Looks exactly like the pictures and arrived in perfect condition.",True,2026-04-10T05:47:58
